Id,Recency,Frequency,Monetary,Choice
1,4,7,41.66,0
2,3,9,46.71,0
3,4,6,103.99,1
4,9,17,37.13,1
5,2,5,88.92,0
6,11,9,105.38,1
7,1,9,112.54,0
8,3,8,104.41,1
9,7,5,31.04,1
10,3,5,49.99,0
11,3,9,66.96,0
12,4,9,63.37,0
13,8,9,65.38,1
14,3,8,33.11,0
15,3,5,83.12,0
16,6,6,78.96,1
17,5,10,84.08,1
18,2,8,79.71,0
19,4,9,33.45,0
20,1,7,33.69,0
21,2,6,59.47,0
22,1,8,102,0
23,3,12,41.01,0
24,1,6,53.66,0
25,5,5,84.77,1
26,3,7,35.01,0
27,4,14,45.39,1
28,3,7,97.85,1
29,4,7,96.2,1
30,5,6,62.28,0
31,5,9,68.47,1
32,4,11,108.66,1
33,5,12,97.8,1
34,3,4,25.15,0
35,6,10,87.77,1
36,3,10,63.3,1
37,6,7,22.34,0
38,2,7,94.28,0
39,3,8,58.2,0
40,6,12,73.34,1
41,5,7,82.58,1
42,6,8,97.11,1
43,3,6,86,0
44,2,6,115.33,0
45,4,2,96.36,1
46,6,10,99.89,1
47,2,11,20.22,0
48,2,9,50.76,0
49,2,9,27.33,0
50,4,2,45.96,0
51,1,4,108.1,0
52,4,8,51.5,0
53,4,9,56.59,0
54,5,7,100.7,1
55,6,5,106.44,1
56,2,11,109.75,1
57,5,14,91.62,1
58,2,15,106.23,1
59,3,4,45.66,0
60,1,9,77.08,0
61,3,5,78.23,0
62,1,10,115.37,0
63,2,7,28.36,0
64,5,8,118.45,1
65,3,5,82.03,0
66,5,10,61.21,1
67,1,12,94.34,0
68,8,7,79.33,1
69,7,5,30.5,0
70,4,8,82.96,1
71,4,9,105.17,1
72,4,12,108.26,1
73,2,12,102.3,0
74,4,2,108.3,1
75,5,8,48.75,0
76,3,6,111.25,1
77,5,6,100.72,1
78,5,5,30.91,0
79,2,10,107.05,0
80,5,8,48.5,0
81,2,5,56.54,0
82,2,7,70.91,0
83,4,3,92.3,1
84,2,6,38.88,0
85,3,6,50.71,0
86,12,7,32.3,1
87,3,7,59.62,0
88,5,8,83.78,1
89,4,10,114.43,1
90,4,8,52.7,0
91,4,9,24.94,0
92,3,6,31.69,0
93,7,10,114.85,1
94,4,7,93.94,1
95,6,6,40.79,1
96,3,7,59.19,0
97,1,11,57.26,0
98,1,6,104.05,0
99,5,5,82.8,1
100,5,7,114.48,1
